puuid,win_rate,kda,kill_death_ratio,avg_damage,avg_cs,avg_vision_score,avg_game_duration,avg_champion_level,avg_gold_earned,gold_efficiency,unique_champions,total_games_played,unique_play_days,avg_time_between_games_hrs,median_time_between_games_hrs,play_frequency,feature_window_days,kda_trend,winrate_trend,last_gap_days,churn
KnYfBOJrBlfAUe9iG9lXcsdb4mVDvjJph_Si_F5vVhMVTNhGhjeJQa5AjffKS4xr4cEhmZa4B8rj5Q,0.6667,2.0968,1.0403,25762.57,234.24,18.62,1619.38,14.95,14140.24,0.9109,9,21,4,4.7501,1.11,5.2668,3.99,0.3354,0.3182,0.1913,0
KrfBsKpCbD_paqW0L5kjc9o4Vz87gbefQmIo2J62QAQuWwaoVEHb0BQuhqMqyFk9ShY3VA8R97Gi6w,0.7188,2.3077,1.3018,24633.0,208.81,20.59,1584.69,16.22,13147.41,0.8909,12,32,12,151.0254,0.8503,0.164,195.09,-0.3577,-0.0625,0.7598,0
L44ewJYAmZhBVNZbXHAg-5PuASkVCOdsIqOL_58uRyk_QT7SUUzOMTLvOHuUV9FKaWJR-Hgl3OOEGw,0.4286,4.2852,1.7778,33721.06,54.31,0.0,1110.23,16.2,14001.83,0.8787,24,35,4,3.5986,0.3972,6.8485,5.11,-0.4167,-0.3105,0.0117,0
LF66cMlK8JjT-ZcilAzrGCgGXrH5gwZoNqHgIEfj7Mu1wCT5ywGCiKv7SEkTovdRZWNUC2GGtgRTxA,0.6111,2.6271,1.1356,28978.06,209.67,17.78,1723.94,15.11,12689.22,0.9183,10,18,6,7.0842,1.0794,3.5707,5.04,0.6498,0.1111,0.799,0
LfZzxkCGXyvN9FyttLOMaIteh-RLnKSaYzkYC297ScB8o6PbkfxcgQ5BiiTIauhUem8zhFQk11y1ow,0.4762,2.783,0.5377,10739.9,43.33,60.48,1499.71,11.81,8098.48,0.9189,7,21,4,3.403,1.6279,7.3607,2.85,-2.5152,-0.2364,0.0266,0
LqHZmYonbDS2RlbWlC4T6CJ7HjwtyR79Z6TLZ6YWJlX5nBKdwf99euCopJT9vyWdQU5Tv-SxgvEZbg,0.6333,2.8323,1.4348,31662.0,28.37,20.33,1529.57,15.43,14270.23,0.9641,11,30,9,11.5583,0.8299,2.1451,13.99,-0.9383,-0.2,0.0236,0
M9QcB3tPXsnHK4NcwO8cuPmZJbg5l7Uax0Q-ekkCVD7sG0c9awywzLxzst6ZYKfQMl88yAfAU5KTpQ,0.5556,2.3519,1.3457,25990.7,210.15,16.59,1688.07,14.22,14200.3,0.906,10,27,4,5.0624,0.6151,4.9069,5.5,0.8917,0.1813,0.0245,0
M9kYLWQ3o0cF2339opKWCM-rva5bXxglgq1BrMD2ZDu5GOU0egU5vdr0TZu0HMQ_lQ1GkJFn468PUg,0.3846,2.0859,0.8281,12475.88,162.92,25.0,1495.27,12.69,11048.88,0.9085,4,26,4,2.745,0.8398,9.0424,2.88,0.0836,0.1538,0.0201,0
MV9OJ7jHOMY8bluqz-VkEML4Ces9srPjWRii6kqLiWo6P1cHS95mK837ZCrJB8Lv-o04Qc96qa1wAg,0.4667,2.8182,1.2273,25000.87,17.6,19.33,1536.43,14.63,12868.9,0.9395,11,30,10,14.2381,0.7153,1.7411,17.23,-0.0639,-0.1333,1.001,0
Ma1s-2D_2Lixesl2tMMPeyeiWewaLEiI7No7NXcQYQZAzb_6cvwToapSuND2ebGESb1AQctMDFj5Pw,0.4138,2.0598,1.288,20188.52,72.28,27.52,1627.24,14.69,12764.52,0.945,4,29,6,4.6801,0.6582,5.2911,5.48,-0.4936,-0.1667,0.4721,0
